ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
22,49.74,288,2.59,15,2.59,15,45.08,261,579,81.6,992.97,10.42,112.91,7.98,84.5,1190.38,100,0.000572614,mi8,FALSE,FALSE,FALSE,FALSE
23,24.18,140,2.94,17,2.25,13,70.64,409,579,67.28,1094.54,13.82,236.74,18.9,321.67,1652.95,100,0.000663615,mi8,FALSE,FALSE,FALSE,FALSE
24,23.32,135,5.53,32,4.15,24,67.01,388,579,55.63,577.56,26.01,265.42,18.36,187.48,1030.46,100,0.000406988,mi8,FALSE,FALSE,FALSE,FALSE
25,14.16,82,13.13,76,13.3,77,59.41,344,579,46.88,243.92,24.78,129.12,28.34,147.07,520.11,100,0.000129382,mi8,FALSE,FALSE,FALSE,TRUE
26,20.38,118,14.34,83,11.92,69,53.37,309,579,33.26,106.79,39.97,128.82,26.77,83.59,319.2,100,0.000155562,mi8,FALSE,FALSE,FALSE,TRUE
27,44.91,260,0.86,5,1.9,11,52.33,303,579,79.83,778.92,11.06,107.15,9.11,89.82,975.89,100,0.000530155,mi8,FALSE,FALSE,FALSE,FALSE
28,22.11,128,13.99,81,21.24,123,42.66,247,579,26.46,100.1,42.53,159.81,31.01,111.88,371.79,100,0.000108208,mi8,FALSE,FALSE,FALSE,TRUE
29,37.82,219,16.23,94,7.77,45,38.17,221,579,66.16,247.53,19.39,71.8,14.45,56.41,375.74,100,0.000432515,mi8,FALSE,FALSE,FALSE,FALSE
1,78.05,32,2.44,1,0,0,19.51,8,41,81.09,392.26,10.18,49.97,8.72,46.08,488.31,100,0.00344279,mi9,FALSE,FALSE,FALSE,FALSE
2,21.95,9,2.44,1,0,0,75.61,31,41,61.24,165.32,24.49,63.69,14.27,37.55,266.56,100,0.00131878,mi9,FALSE,FALSE,FALSE,FALSE
3,9.76,4,12.2,5,14.63,6,63.41,26,41,29.77,30.23,33.33,33.1,36.9,37.66,100.99,100,0.000463431,mi9,FALSE,FALSE,FALSE,FALSE
4,53.66,22,0,0,0,0,46.34,19,41,74.57,68.1,13.3,12.81,12.13,10.72,91.63,100,0.00107274,mi9,FALSE,FALSE,FALSE,FALSE
5,24.39,10,9.76,4,0,0,65.85,27,41,60.48,17.86,26.2,7.95,13.31,4.1,29.91,100,0.00038724,mi9,FALSE,FALSE,FALSE,FALSE
6,78.05,32,0,0,0,0,21.95,9,41,84.57,191.01,9.24,19.82,6.19,13.58,224.41,100,0.00121226,mi9,FALSE,FALSE,FALSE,FALSE
7,21.95,9,34.15,14,21.95,9,21.95,9,41,47.31,39.81,29.86,21.76,22.83,18.48,80.05,100,0.000230884,mi9,FALSE,FALSE,FALSE,FALSE
8,60.98,25,17.07,7,7.32,3,14.63,6,41,46.56,61.75,33.77,46.08,19.67,26.61,134.44,100,0.000731489,mi9,FALSE,FALSE,FALSE,FALSE
9,21.95,9,0,0,2.44,1,75.61,31,41,57.96,189.5,23.37,65.42,18.67,61.47,316.39,100,0.000988461,mi9,FALSE,FALSE,FALSE,FALSE
10,24.39,10,0,0,4.88,2,70.73,29,41,59.23,166.2,9.28,26.13,31.5,78.2,270.53,100,0.00175039,mi9,FALSE,FALSE,FALSE,FALSE
11,19.51,8,4.88,2,7.32,3,68.29,28,41,67.16,101.56,16.19,23.15,16.65,23.52,148.23,100,0.000368829,mi9,FALSE,FALSE,FALSE,FALSE
12,14.63,6,9.76,4,17.07,7,58.54,24,41,25.64,10.69,37.01,15.69,37.35,17.46,43.84,100,0.000150247,mi9,FALSE,FALSE,FALSE,TRUE
13,29.27,12,9.76,4,14.63,6,46.34,19,41,51.15,30.79,17.37,9.93,31.48,18.97,59.69,100,0.000387815,mi9,FALSE,FALSE,FALSE,FALSE
14,70.73,29,0,0,2.44,1,26.83,11,41,81.67,179.36,16.38,37.12,1.95,3.95,220.43,100,0.000980468,mi9,FALSE,FALSE,FALSE,FALSE
15,9.76,4,0,0,0,0,90.24,37,41,64.17,96.4,13.79,22.25,22.04,33.74,152.39,100,0.00111888,mi9,FALSE,FALSE,FALSE,FALSE
16,46.34,19,2.44,1,2.44,1,48.78,20,41,85.53,54.4,6.1,4.18,8.38,5.37,63.95,100,0.000600072,mi9,FALSE,FALSE,FALSE,FALSE
17,4.88,2,0,0,2.44,1,92.68,38,41,35.8,35.94,31.23,31.96,32.97,33.38,101.28,100,0.000412468,mi9,TRUE,FALSE,FALSE,FALSE
18,4.88,2,0,0,9.76,4,85.37,35,41,46.05,55.85,12.47,14.13,41.48,52.01,121.99,100,0.000505645,mi9,FALSE,TRUE,FALSE,FALSE
19,9.76,4,4.88,2,14.63,6,70.73,29,41,40.63,31.85,16.86,13.39,42.51,36.21,81.45,100,0.000366787,mi9,FALSE,FALSE,TRUE,FALSE
20,31.71,13,0,0,7.32,3,60.98,25,41,55.39,29.63,13.78,7.4,30.84,17.73,54.76,100,0.000898608,mi9,FALSE,FALSE,FALSE,FALSE
21,14.63,6,4.88,2,9.76,4,70.73,29,41,60.22,36.19,20.24,10,19.53,9.36,55.55,100,0.000246005,mi9,FALSE,FALSE,FALSE,FALSE
22,43.9,18,0,0,0,0,56.1,23,41,82.41,61.69,9.98,6.27,7.61,4.96,72.92,100,0.000572614,mi9,FALSE,FALSE,FALSE,FALSE
23,26.83,11,0,0,7.32,3,65.85,27,41,58.78,87.34,11.89,17.52,29.33,43.61,148.47,100,0.000663615,mi9,FALSE,FALSE,FALSE,FALSE
24,53.66,22,0,0,4.88,2,41.46,17,41,88.08,120.37,8.31,11.71,3.61,5.07,137.15,100,0.000406988,mi9,FALSE,FALSE,FALSE,FALSE
25,12.2,5,7.32,3,34.15,14,46.34,19,41,38.68,8.14,19.02,4.25,42.3,8.67,21.06,100,0.000129382,mi9,FALSE,FALSE,FALSE,TRUE
26,36.59,15,7.32,3,12.2,5,43.9,18,41,75.93,12.05,14.81,2.23,9.27,1.19,15.47,100,0.000155562,mi9,FALSE,FALSE,FALSE,TRUE
27,51.22,21,4.88,2,4.88,2,39.02,16,41,93.26,85.69,5.8,5.49,0.95,0.95,92.13,100,0.000530155,mi9,FALSE,FALSE,FALSE,FALSE
28,31.71,13,21.95,9,26.83,11,19.51,8,41,15.44,1.75,56.73,7.88,27.83,3.29,12.92,100,0.000108208,mi9,FALSE,FALSE,FALSE,TRUE
29,48.78,20,7.32,3,2.44,1,41.46,17,41,100,31.82,0,0,0,0,31.82,100,0.000432515,mi9,FALSE,FALSE,FALSE,FALSE
